cleaned_med_id,inv_min,inv_max,mean_first_count,mean_last_count,total_picks,mean_picks,median_picks,variance_picks,std_dev_picks,range_picks,iqr_picks,skewness_picks,kurtosis_picks,percent_days_w_pick,days_of_data,days_w_stockout,days_w_scarce_inv,days_w_excess_inv,mean_inventory,inv_turnover_ratio,days_sales_inventory,stockout_rate,excess_rate,scarce_rate,coef_var
66050,54.0,78.0,58.061349693251536,58.533742331288344,1105.0,6.779141104294479,6.0,23.222525183670378,4.818975532586815,24.0,6.5,0.8753356828365647,0.5988365984218254,0.9447852760736196,163.0,0.0,54.0,5.0,58.29754601226994,18.95448566166798,8.599547511312217,0.0,0.03067484662576687,0.3312883435582822,0.7108534043544351
67824,0.0,50.0,17.815677966101696,17.677966101694917,6.0,0.012711864406779662,0.0,0.03805462593112381,0.19507594913551957,3.0,0.0,15.264476909450556,231.00425531914897,0.00423728813559322,472.0,301.0,0.0,1.0,17.746822033898304,0.3380887005312481,1396.0833333333333,0.6377118644067796,0.00211864406779661,0.0,15.345974665327539
68188,0.0,100.0,63.468023255813954,63.241279069767444,1612.0,4.686046511627907,1.0,51.62126245847177,7.184793835488376,36.0,7.0,1.8424787255070303,3.1337663226968218,0.5145348837209303,344.0,68.0,0.0,17.0,63.3546511627907,25.444067174451682,13.51985111662531,0.19767441860465115,0.04941860465116279,0.0,1.5332314388387105
69921,2.0,4.0,3.1798298906439855,3.177399756986634,220.0,0.267314702308627,0.0,0.4540033643456229,0.6737977176761754,4.0,0.0,2.6541793111491874,6.635736152762616,0.16160388821385177,823.0,24.0,80.0,120.0,3.17861482381531,69.2125382262997,11.89090909090909,0.02916160388821385,0.14580801944106925,0.09720534629404617,2.5206160074886013
69928,0.0,0.0,98.38882138517619,98.46780072904009,590.0,0.7168894289185905,0.0,33.85040783082486,5.818110331613251,120.0,0.0,18.222392226885315,353.2567716733762,0.10814094775212636,823.0,30.0,0.0,793.0,98.42831105710815,5.994210341145464,137.2991525423729,0.03645200486026731,0.9635479951397327,0.0,8.11577085240289
69938,5.0,35.0,13.777173913043478,13.794836956521738,52.0,0.07065217391304347,0.0,0.10384501626737654,0.3222499282658982,3.0,0.0,5.352564606525538,32.43951689936358,0.05434782608695652,736.0,1.0,4.0,0.0,13.78600543478261,3.771941063420884,195.12500000000003,0.001358695652173913,0.0,0.005434782608695652,4.561075907763483
70560,2.0,2.0,2.524904214559387,2.528735632183908,91.0,0.11621966794380588,0.0,0.29721740436971056,0.5451764891938303,8.0,0.0,9.166259610140486,114.87443043346865,0.07790549169859515,783.0,33.0,123.0,181.0,2.5268199233716473,36.013646702047005,21.741758241758237,0.0421455938697318,0.23116219667943805,0.15708812260536398,4.690914187239221
70978,25000.0,35000.0,23157.43536585366,23178.975609756097,1592214.0,1941.7243902439025,0.0,20380061.975228563,4514.428200251784,53002.0,2678.25,7.0771594799147355,68.98338941729845,0.4695121951219512,820.0,6.0,488.0,57.0,23168.20548780488,68.72409694562225,11.931768279892026,0.007317073170731708,0.06951219512195123,0.5951219512195122,2.32495828086329
72812,10.0,40.0,36.10592686002522,36.172761664564945,211.0,0.266078184110971,0.0,7.064214019132052,2.6578589163332302,44.0,0.0,12.495156195142076,164.52488998613447,0.044136191677175286,793.0,23.0,24.0,179.0,36.13934426229508,5.838512134270809,135.8222748815166,0.029003783102143757,0.2257250945775536,0.03026481715006305,9.989014789821097
72926,4.0,32.0,27.762308998302206,27.762308998302206,1.0,0.001697792869269949,0.0,0.001697792869269949,0.041204282171516456,1.0,0.0,24.207472001022165,584.0017006802722,0.001697792869269949,589.0,5.0,5.0,0.0,27.762308998302206,0.036020058708414876,16352.0,0.008488964346349746,0.0,0.008488964346349746,24.269322199023193
